rCut Vs Percentages	Au38_Au38_original_Au38_twist_[1,1,1]_axis_10_degrees_oneFace_rCut_2.884_4.0786-0.0005_CNA_tolerance_0
3.066	74.0740740741
3.0665	74.0740740741
3.067	74.0740740741
3.0675	74.0740740741
3.068	74.0740740741
3.0685	74.0740740741
3.069	74.0740740741
3.0695	74.0740740741
3.07	74.0740740741
3.0705	74.0740740741
3.071	74.0740740741
3.0715	74.0740740741
3.072	74.0740740741
3.0725	74.0740740741
3.073	74.0740740741
3.0735	74.0740740741
3.074	74.0740740741
3.0745	74.0740740741
3.075	74.0740740741
3.0755	74.0740740741
3.076	74.0740740741
3.0765	74.0740740741
3.077	74.0740740741
3.0775	74.0740740741
3.078	74.0740740741
3.0785	74.0740740741
3.079	74.0740740741
3.0795	74.0740740741
3.08	74.0740740741
3.0805	74.0740740741
3.081	74.0740740741
3.0815	74.0740740741
3.082	74.0740740741
3.0825	74.0740740741
3.083	74.0740740741
3.0835	74.0740740741
3.084	74.0740740741
3.0845	74.0740740741
3.085	74.0740740741
3.0855	74.0740740741
3.086	74.0740740741
3.0865	74.0740740741
3.087	74.0740740741
3.0875	74.0740740741
3.088	74.0740740741
3.0885	86.2745098039
3.089	86.2745098039
3.0895	86.2745098039
3.09	86.2745098039
3.0905	86.2745098039
3.091	86.2745098039
3.0915	86.2745098039
3.092	86.2745098039
3.0925	86.2745098039
3.093	86.2745098039
3.0935	86.2745098039
3.094	86.2745098039
3.0945	86.2745098039
3.095	86.2745098039
3.0955	86.2745098039
3.096	86.2745098039
3.0965	86.2745098039
3.097	86.2745098039
3.0975	86.2745098039
3.098	86.2745098039
3.0985	86.2745098039
3.099	86.2745098039
3.0995	86.2745098039
3.1	86.2745098039
3.1005	86.2745098039
3.101	86.2745098039
3.1015	86.2745098039
3.102	86.2745098039
3.1025	86.2745098039
3.103	86.2745098039
3.1035	86.2745098039
3.104	86.2745098039
3.1045	86.2745098039
3.105	86.2745098039
3.1055	86.2745098039
3.106	86.2745098039
3.1065	86.2745098039
3.107	86.2745098039
3.1075	86.2745098039
3.108	86.2745098039
3.1085	86.2745098039
3.109	86.2745098039
3.1095	86.2745098039
3.11	86.2745098039
3.1105	86.2745098039
3.111	86.2745098039
3.1115	86.2745098039
3.112	86.2745098039
3.1125	86.2745098039
3.113	86.2745098039
3.1135	86.2745098039
3.114	86.2745098039
3.1145	86.2745098039
3.115	86.2745098039
3.1155	86.2745098039
3.116	86.2745098039
3.1165	86.2745098039
3.117	86.2745098039
3.1175	86.2745098039
3.118	86.2745098039
3.1185	86.2745098039
3.119	86.2745098039
3.1195	86.2745098039
3.12	86.2745098039
3.1205	86.2745098039
3.121	86.2745098039
3.1215	86.2745098039
3.122	86.2745098039
3.1225	86.2745098039
3.123	86.2745098039
3.1235	86.2745098039
3.124	86.2745098039
3.1245	86.2745098039
3.125	86.2745098039
3.1255	86.2745098039
3.126	86.2745098039
3.1265	86.2745098039
3.127	86.2745098039
3.1275	86.2745098039
3.128	86.2745098039
3.1285	86.2745098039
3.129	86.2745098039
3.1295	86.2745098039
3.13	86.2745098039
3.1305	86.2745098039
3.131	86.2745098039
3.1315	86.2745098039
3.132	86.2745098039
3.1325	86.2745098039
3.133	86.2745098039
3.1335	86.2745098039
3.134	86.2745098039
3.1345	86.2745098039
3.135	86.2745098039
3.1355	86.2745098039
3.136	86.2745098039
3.1365	86.2745098039
3.137	86.2745098039
3.1375	86.2745098039
3.138	86.2745098039
3.1385	86.2745098039
3.139	86.2745098039
3.1395	86.2745098039
3.14	86.2745098039
3.1405	86.2745098039
3.141	86.2745098039
3.1415	86.2745098039
3.142	86.2745098039
3.1425	86.2745098039
3.143	86.2745098039
3.1435	86.2745098039
3.144	86.2745098039
3.1445	86.2745098039
3.145	86.2745098039
3.1455	86.2745098039
3.146	86.2745098039
3.1465	86.2745098039
3.147	86.2745098039
3.1475	86.2745098039
3.148	86.2745098039
3.1485	86.2745098039
3.149	86.2745098039
3.1495	86.2745098039
3.15	86.2745098039
3.1505	86.2745098039
3.151	86.2745098039
3.1515	86.2745098039
3.152	86.2745098039
3.1525	86.2745098039
3.153	86.2745098039
3.1535	86.2745098039
3.154	86.2745098039
3.1545	86.2745098039
3.155	86.2745098039
3.1555	86.2745098039
3.156	86.2745098039
3.1565	86.2745098039
3.157	86.2745098039
3.1575	86.2745098039
3.158	86.2745098039
3.1585	86.2745098039
3.159	86.2745098039
3.1595	86.2745098039
3.16	86.2745098039
3.1605	86.2745098039
3.161	86.2745098039
3.1615	86.2745098039
3.162	86.2745098039
3.1625	86.2745098039
3.163	86.2745098039
3.1635	86.2745098039
3.164	86.2745098039
3.1645	86.2745098039
3.165	86.2745098039
3.1655	86.2745098039
3.166	86.2745098039
3.1665	86.2745098039
3.167	86.2745098039
3.1675	86.2745098039
3.168	86.2745098039
3.1685	86.2745098039
3.169	86.2745098039
3.1695	86.2745098039
3.17	86.2745098039
3.1705	86.2745098039
3.171	86.2745098039
3.1715	86.2745098039
3.172	86.2745098039
3.1725	86.2745098039
3.173	86.2745098039
3.1735	86.2745098039
3.174	86.2745098039
3.1745	86.2745098039
3.175	86.2745098039
3.1755	86.2745098039
3.176	86.2745098039
3.1765	86.2745098039
3.177	86.2745098039
3.1775	86.2745098039
3.178	86.2745098039
3.1785	86.2745098039
3.179	86.2745098039
3.1795	86.2745098039
3.18	86.2745098039
3.1805	86.2745098039
3.181	86.2745098039
3.1815	86.2745098039
3.182	86.2745098039
3.1825	86.2745098039
3.183	86.2745098039
3.1835	86.2745098039
3.184	86.2745098039
3.1845	86.2745098039
3.185	86.2745098039
3.1855	86.2745098039
3.186	86.2745098039
3.1865	86.2745098039
3.187	86.2745098039
3.1875	86.2745098039
3.188	86.2745098039
3.1885	86.2745098039
3.189	86.2745098039
3.1895	86.2745098039
3.19	86.2745098039
3.1905	86.2745098039
3.191	86.2745098039
3.1915	86.2745098039
3.192	86.2745098039
3.1925	86.2745098039
3.193	86.2745098039
3.1935	86.2745098039
3.194	86.2745098039
3.1945	86.2745098039
3.195	86.2745098039
3.1955	86.2745098039
3.196	86.2745098039
3.1965	86.2745098039
3.197	86.2745098039
3.1975	86.2745098039
3.198	86.2745098039
3.1985	86.2745098039
3.199	86.2745098039
3.1995	86.2745098039
3.2	86.2745098039
3.2005	86.2745098039
3.201	100.0
3.2015	100.0
3.202	100.0
3.2025	100.0
3.203	100.0
3.2035	100.0
3.204	100.0
3.2045	100.0
3.205	100.0
3.2055	100.0
3.206	100.0
3.2065	100.0
3.207	100.0
3.2075	100.0
3.208	100.0
3.2085	100.0
3.209	100.0
3.2095	100.0
3.21	100.0
3.2105	100.0
3.211	100.0
3.2115	100.0
3.212	100.0
3.2125	100.0
3.213	100.0
3.2135	100.0
3.214	100.0
3.2145	100.0
3.215	100.0
3.2155	100.0
3.216	100.0
3.2165	100.0
3.217	100.0
3.2175	100.0
3.218	100.0
3.2185	100.0
3.219	100.0
3.2195	100.0
3.22	100.0
3.2205	100.0
3.221	100.0
3.2215	100.0
3.222	100.0
3.2225	100.0
3.223	100.0
3.2235	100.0
3.224	100.0
3.2245	100.0
3.225	100.0
3.2255	100.0
3.226	100.0
3.2265	100.0
3.227	100.0
3.2275	100.0
3.228	100.0
3.2285	100.0
3.229	100.0
3.2295	100.0
3.23	100.0
3.2305	100.0
3.231	100.0
3.2315	100.0
3.232	100.0
3.2325	100.0
3.233	100.0
3.2335	100.0
3.234	100.0
3.2345	100.0
3.235	100.0
3.2355	100.0
3.236	100.0
3.2365	100.0
3.237	100.0
3.2375	100.0
3.238	100.0
3.2385	100.0
3.239	100.0
3.2395	100.0
3.24	100.0
3.2405	100.0
3.241	100.0
3.2415	100.0
3.242	100.0
3.2425	100.0
3.243	100.0
3.2435	100.0
3.244	100.0
3.2445	100.0
3.245	100.0
3.2455	100.0
3.246	100.0
3.2465	100.0
3.247	100.0
3.2475	100.0
3.248	100.0
3.2485	100.0
3.249	100.0
3.2495	100.0
3.25	100.0
3.2505	100.0
3.251	100.0
3.2515	100.0
3.252	100.0
3.2525	100.0
3.253	100.0
3.2535	100.0
3.254	100.0
3.2545	100.0
3.255	100.0
3.2555	100.0
3.256	100.0
3.2565	100.0
3.257	100.0
3.2575	100.0
3.258	100.0
3.2585	100.0
3.259	100.0
3.2595	100.0
3.26	100.0
3.2605	100.0
3.261	100.0
3.2615	100.0
3.262	100.0
3.2625	100.0
3.263	100.0
3.2635	100.0
3.264	100.0
3.2645	100.0
3.265	100.0
3.2655	100.0
3.266	100.0
3.2665	100.0
3.267	100.0
3.2675	100.0
3.268	100.0
3.2685	100.0
3.269	100.0
3.2695	100.0
3.27	100.0
3.2705	100.0
3.271	100.0
3.2715	100.0
3.272	100.0
3.2725	100.0
3.273	100.0
3.2735	100.0
3.274	100.0
3.2745	100.0
3.275	100.0
3.2755	100.0
3.276	100.0
3.2765	100.0
3.277	100.0
3.2775	100.0
3.278	100.0
3.2785	100.0
3.279	100.0
3.2795	100.0
3.28	100.0
3.2805	100.0
3.281	100.0
3.2815	100.0
3.282	100.0
3.2825	100.0
3.283	100.0
3.2835	100.0
3.284	100.0
3.2845	100.0
3.285	100.0
3.2855	100.0
3.286	100.0
3.2865	100.0
3.287	100.0
3.2875	100.0
3.288	100.0
3.2885	100.0
3.289	100.0
3.2895	100.0
3.29	100.0
3.2905	100.0
3.291	100.0
3.2915	100.0
3.292	100.0
3.2925	100.0
3.293	100.0
3.2935	100.0
3.294	100.0
3.2945	100.0
3.295	100.0
3.2955	100.0
3.296	100.0
3.2965	100.0
3.297	100.0
3.2975	100.0
3.298	100.0
3.2985	100.0
3.299	100.0
3.2995	100.0
3.3	100.0
3.3005	100.0
3.301	100.0
3.3015	100.0
3.302	100.0
3.3025	100.0
3.303	100.0
3.3035	100.0
3.304	100.0
3.3045	100.0
3.305	100.0
3.3055	100.0
3.306	100.0
3.3065	100.0
3.307	100.0
3.3075	100.0
3.308	100.0
3.3085	100.0
3.309	100.0
3.3095	100.0
3.31	100.0
3.3105	100.0
3.311	100.0
3.3115	100.0
3.312	100.0
3.3125	100.0
3.313	100.0
3.3135	100.0
3.314	100.0
3.3145	100.0
3.315	100.0
3.3155	100.0
3.316	100.0
3.3165	100.0
3.317	100.0
3.3175	100.0
3.318	100.0
3.3185	100.0
3.319	100.0
3.3195	100.0
3.32	100.0
3.3205	100.0
3.321	100.0
3.3215	100.0
3.322	100.0
3.3225	100.0
3.323	100.0
3.3235	100.0
3.324	100.0
3.3245	100.0
3.325	100.0
3.3255	100.0
3.326	100.0
3.3265	100.0
3.327	100.0
3.3275	100.0
3.328	100.0
3.3285	100.0
3.329	100.0
3.3295	100.0
3.33	100.0
3.3305	100.0
3.331	100.0
3.3315	100.0
3.332	100.0
3.3325	100.0
3.333	100.0
3.3335	100.0
3.334	100.0
3.3345	100.0
3.335	100.0
3.3355	100.0
3.336	100.0
3.3365	100.0
3.337	100.0
3.3375	100.0
3.338	100.0
3.3385	100.0
3.339	100.0
3.3395	100.0
3.34	100.0
3.3405	100.0
3.341	100.0
3.3415	100.0
3.342	100.0
3.3425	100.0
3.343	100.0
3.3435	100.0
3.344	100.0
3.3445	100.0
3.345	100.0
3.3455	100.0
3.346	100.0
3.3465	100.0
3.347	100.0
3.3475	100.0
3.348	100.0
3.3485	100.0
3.349	100.0
3.3495	100.0
3.35	100.0
3.3505	100.0
3.351	100.0
3.3515	100.0
3.352	100.0
3.3525	100.0
3.353	100.0
3.3535	100.0
3.354	100.0
3.3545	100.0
3.355	100.0
3.3555	100.0
3.356	100.0
3.3565	100.0
3.357	100.0
3.3575	100.0
3.358	100.0
3.3585	100.0
3.359	100.0
3.3595	100.0
3.36	100.0
3.3605	100.0
3.361	100.0
3.3615	100.0
3.362	100.0
3.3625	100.0
3.363	100.0
3.3635	100.0
3.364	100.0
3.3645	100.0
3.365	100.0
3.3655	100.0
3.366	100.0
3.3665	100.0
3.367	100.0
3.3675	100.0
3.368	100.0
3.3685	100.0
3.369	100.0
3.3695	100.0
3.37	100.0
3.3705	100.0
3.371	100.0
3.3715	100.0
3.372	100.0
3.3725	100.0
3.373	100.0
3.3735	100.0
3.374	100.0
3.3745	100.0
3.375	100.0
3.3755	100.0
3.376	100.0
3.3765	100.0
3.377	100.0
3.3775	100.0
3.378	100.0
3.3785	100.0
3.379	100.0
3.3795	100.0
3.38	100.0
3.3805	100.0
3.381	100.0
3.3815	100.0
3.382	100.0
3.3825	100.0
3.383	100.0
3.3835	100.0
3.384	100.0
3.3845	100.0
3.385	100.0
3.3855	100.0
3.386	100.0
3.3865	100.0
3.387	100.0
3.3875	100.0
3.388	100.0
3.3885	100.0
3.389	100.0
3.3895	100.0
3.39	100.0
3.3905	100.0
3.391	100.0
3.3915	100.0
3.392	100.0
3.3925	100.0
3.393	100.0
3.3935	100.0
3.394	100.0
3.3945	100.0
3.395	100.0
3.3955	100.0
3.396	100.0
3.3965	100.0
3.397	100.0
3.3975	100.0
3.398	100.0
3.3985	100.0
3.399	100.0
3.3995	100.0
3.4	100.0
3.4005	100.0
3.401	100.0
3.4015	100.0
3.402	100.0
3.4025	100.0
3.403	100.0
3.4035	100.0
3.404	100.0
3.4045	100.0
3.405	100.0
3.4055	100.0
3.406	100.0
3.4065	100.0
3.407	100.0
3.4075	100.0
3.408	100.0
3.4085	100.0
3.409	100.0
3.4095	100.0
3.41	100.0
3.4105	100.0
3.411	100.0
3.4115	100.0
3.412	100.0
3.4125	100.0
3.413	100.0
3.4135	100.0
3.414	100.0
3.4145	100.0
3.415	100.0
3.4155	100.0
3.416	100.0
3.4165	100.0
3.417	100.0
3.4175	100.0
3.418	100.0
3.4185	100.0
3.419	100.0
3.4195	100.0
3.42	100.0
3.4205	100.0
3.421	100.0
3.4215	100.0
3.422	100.0
3.4225	100.0
3.423	100.0
3.4235	100.0
3.424	100.0
3.4245	100.0
3.425	100.0
3.4255	100.0
3.426	100.0
3.4265	100.0
3.427	100.0
3.4275	100.0
3.428	100.0
3.4285	100.0
3.429	100.0
3.4295	100.0
3.43	100.0
3.4305	100.0
3.431	100.0
3.4315	100.0
3.432	100.0
3.4325	100.0
3.433	100.0
3.4335	100.0
3.434	100.0
3.4345	100.0
3.435	100.0
3.4355	100.0
3.436	100.0
3.4365	100.0
3.437	100.0
3.4375	100.0
3.438	100.0
3.4385	100.0
3.439	100.0
3.4395	100.0
3.44	100.0
3.4405	100.0
3.441	100.0
3.4415	100.0
3.442	100.0
3.4425	100.0
3.443	100.0
3.4435	100.0
3.444	100.0
3.4445	100.0
3.445	100.0
3.4455	100.0
3.446	100.0
3.4465	100.0
3.447	100.0
3.4475	100.0
3.448	100.0
3.4485	100.0
3.449	100.0
3.4495	100.0
3.45	100.0
3.4505	100.0
3.451	100.0
3.4515	100.0
3.452	100.0
3.4525	100.0
3.453	100.0
3.4535	100.0
3.454	100.0
3.4545	100.0
3.455	100.0
3.4555	100.0
3.456	100.0
3.4565	100.0
3.457	100.0
3.4575	100.0
3.458	100.0
3.4585	100.0
3.459	100.0
3.4595	100.0
3.46	100.0
3.4605	100.0
3.461	100.0
3.4615	100.0
3.462	100.0
3.4625	100.0
3.463	100.0
3.4635	100.0
3.464	100.0
3.4645	100.0
3.465	100.0
3.4655	100.0
3.466	100.0
3.4665	100.0
3.467	100.0
3.4675	100.0
3.468	100.0
3.4685	100.0
3.469	100.0
3.4695	100.0
3.47	100.0
3.4705	100.0
3.471	100.0
3.4715	100.0
3.472	100.0
3.4725	100.0
3.473	100.0
3.4735	100.0
3.474	100.0
3.4745	100.0
3.475	100.0
3.4755	100.0
3.476	100.0
3.4765	100.0
3.477	100.0
3.4775	100.0
3.478	100.0
3.4785	100.0
3.479	100.0
3.4795	100.0
3.48	100.0
3.4805	100.0
3.481	100.0
3.4815	100.0
3.482	100.0
3.4825	100.0
3.483	100.0
3.4835	100.0
3.484	100.0
3.4845	100.0
3.485	100.0
3.4855	100.0
3.486	100.0
3.4865	100.0
3.487	100.0
3.4875	100.0
3.488	100.0
3.4885	100.0
3.489	100.0
3.4895	100.0
3.49	100.0
3.4905	100.0
3.491	100.0
3.4915	100.0
3.492	100.0
3.4925	100.0
3.493	100.0
3.4935	100.0
3.494	100.0
3.4945	100.0
3.495	100.0
3.4955	100.0
3.496	100.0
3.4965	100.0
3.497	100.0
3.4975	100.0
3.498	100.0
3.4985	100.0
3.499	100.0
3.4995	100.0
3.5	100.0
3.5005	100.0
3.501	100.0
3.5015	100.0
3.502	100.0
3.5025	100.0
3.503	100.0
3.5035	100.0
3.504	100.0
3.5045	100.0
3.505	100.0
3.5055	100.0
3.506	100.0
3.5065	100.0
3.507	100.0
3.5075	100.0
3.508	100.0
3.5085	100.0
3.509	100.0
3.5095	100.0
3.51	100.0
3.5105	100.0
3.511	100.0
3.5115	100.0
3.512	100.0
3.5125	100.0
3.513	100.0
3.5135	100.0
3.514	100.0
3.5145	100.0
3.515	100.0
3.5155	100.0
3.516	100.0
3.5165	100.0
3.517	100.0
3.5175	100.0
3.518	100.0
3.5185	100.0
3.519	100.0
3.5195	100.0
3.52	100.0
3.5205	100.0
3.521	100.0
3.5215	100.0
3.522	100.0
3.5225	100.0
3.523	100.0
3.5235	100.0
3.524	100.0
3.5245	100.0
3.525	100.0
3.5255	100.0
3.526	100.0
3.5265	100.0
3.527	100.0
3.5275	100.0
3.528	100.0
3.5285	100.0
3.529	100.0
3.5295	100.0
3.53	100.0
3.5305	100.0
3.531	100.0
3.5315	100.0
3.532	100.0
3.5325	100.0
3.533	100.0
3.5335	100.0
3.534	100.0
3.5345	100.0
3.535	100.0
3.5355	100.0
3.536	100.0
3.5365	100.0
3.537	100.0
3.5375	100.0
3.538	100.0
3.5385	100.0
3.539	100.0
3.5395	100.0
3.54	100.0
3.5405	100.0
3.541	100.0
3.5415	100.0
3.542	100.0
3.5425	100.0
3.543	100.0
3.5435	100.0
3.544	100.0
3.5445	100.0
3.545	100.0
3.5455	100.0
3.546	100.0
3.5465	100.0
3.547	100.0
3.5475	100.0
3.548	100.0
3.5485	100.0
3.549	100.0
3.5495	100.0
3.55	100.0
3.5505	100.0
3.551	100.0
3.5515	100.0
3.552	100.0
3.5525	100.0
3.553	100.0
3.5535	100.0
3.554	100.0
3.5545	100.0
3.555	100.0
3.5555	100.0
3.556	100.0
3.5565	100.0
3.557	100.0
3.5575	100.0
3.558	100.0
3.5585	100.0
3.559	100.0
3.5595	100.0
3.56	100.0
3.5605	100.0
3.561	100.0
3.5615	100.0
3.562	100.0
3.5625	100.0
3.563	100.0
3.5635	100.0
3.564	100.0
3.5645	100.0
3.565	100.0
3.5655	100.0
3.566	100.0
3.5665	100.0
3.567	100.0
3.5675	100.0
3.568	100.0
3.5685	100.0
3.569	100.0
3.5695	100.0
3.57	100.0
3.5705	100.0
3.571	100.0
3.5715	100.0
3.572	100.0
3.5725	100.0
3.573	100.0
3.5735	100.0
3.574	100.0
3.5745	100.0
3.575	100.0
3.5755	100.0
3.576	100.0
3.5765	100.0
3.577	100.0
3.5775	100.0
3.578	100.0
3.5785	100.0
3.579	100.0
3.5795	100.0
3.58	100.0
3.5805	100.0
3.581	100.0
