rCut Vs Percentages	Au38_Au38_original_Au38_twist_z_axis_30_degrees_rCut_2.884_4.0786-0.0005_CNA_tolerance_0
2.884	0.0
2.8845	0.0
2.885	5.26315789474
2.8855	5.26315789474
2.886	5.26315789474
2.8865	5.26315789474
2.887	5.26315789474
2.8875	5.26315789474
2.888	5.26315789474
2.8885	5.26315789474
2.889	5.26315789474
2.8895	5.26315789474
2.89	5.26315789474
2.8905	5.26315789474
2.891	5.26315789474
2.8915	5.26315789474
2.892	5.26315789474
2.8925	5.26315789474
2.893	5.26315789474
2.8935	5.26315789474
2.894	5.26315789474
2.8945	5.26315789474
2.895	5.26315789474
2.8955	5.26315789474
2.896	5.26315789474
2.8965	5.26315789474
2.897	5.26315789474
2.8975	5.26315789474
2.898	5.26315789474
2.8985	5.26315789474
2.899	5.26315789474
2.8995	5.26315789474
2.9	5.26315789474
2.9005	5.26315789474
2.901	5.26315789474
2.9015	5.26315789474
2.902	5.26315789474
2.9025	5.26315789474
2.903	5.26315789474
2.9035	5.26315789474
2.904	5.26315789474
2.9045	5.26315789474
2.905	5.26315789474
2.9055	5.26315789474
2.906	5.26315789474
2.9065	5.26315789474
2.907	5.26315789474
2.9075	5.26315789474
2.908	5.26315789474
2.9085	5.26315789474
2.909	5.26315789474
2.9095	5.26315789474
2.91	5.26315789474
2.9105	5.26315789474
2.911	5.26315789474
2.9115	5.26315789474
2.912	5.26315789474
2.9125	5.26315789474
2.913	5.26315789474
2.9135	5.26315789474
2.914	5.26315789474
2.9145	5.26315789474
2.915	5.26315789474
2.9155	5.26315789474
2.916	5.26315789474
2.9165	5.26315789474
2.917	5.26315789474
2.9175	5.26315789474
2.918	5.26315789474
2.9185	5.26315789474
2.919	5.26315789474
2.9195	5.26315789474
2.92	5.26315789474
2.9205	5.26315789474
2.921	5.26315789474
2.9215	5.26315789474
2.922	5.26315789474
2.9225	5.26315789474
2.923	5.26315789474
2.9235	5.26315789474
2.924	5.26315789474
2.9245	5.26315789474
2.925	5.26315789474
2.9255	5.26315789474
2.926	5.26315789474
2.9265	5.26315789474
2.927	5.26315789474
2.9275	5.26315789474
2.928	5.26315789474
2.9285	5.26315789474
2.929	5.26315789474
2.9295	5.26315789474
2.93	5.26315789474
2.9305	5.26315789474
2.931	5.26315789474
2.9315	5.26315789474
2.932	5.26315789474
2.9325	5.26315789474
2.933	5.26315789474
2.9335	5.26315789474
2.934	5.26315789474
2.9345	5.26315789474
2.935	5.26315789474
2.9355	5.26315789474
2.936	5.26315789474
2.9365	5.26315789474
2.937	5.26315789474
2.9375	5.26315789474
2.938	5.26315789474
2.9385	5.26315789474
2.939	5.26315789474
2.9395	5.26315789474
2.94	5.26315789474
2.9405	5.26315789474
2.941	5.26315789474
2.9415	5.26315789474
2.942	5.26315789474
2.9425	5.26315789474
2.943	5.26315789474
2.9435	5.26315789474
2.944	5.26315789474
2.9445	5.26315789474
2.945	5.26315789474
2.9455	5.26315789474
2.946	5.26315789474
2.9465	5.26315789474
2.947	5.26315789474
2.9475	5.26315789474
2.948	5.26315789474
2.9485	5.26315789474
2.949	5.26315789474
2.9495	5.26315789474
2.95	5.26315789474
2.9505	5.26315789474
2.951	5.26315789474
2.9515	5.26315789474
2.952	5.26315789474
2.9525	5.26315789474
2.953	5.26315789474
2.9535	5.26315789474
2.954	5.26315789474
2.9545	5.26315789474
2.955	5.26315789474
2.9555	5.26315789474
2.956	5.26315789474
2.9565	5.26315789474
2.957	5.26315789474
2.9575	5.26315789474
2.958	5.26315789474
2.9585	5.26315789474
2.959	5.26315789474
2.9595	5.26315789474
2.96	5.26315789474
2.9605	5.26315789474
2.961	5.26315789474
2.9615	5.26315789474
2.962	5.26315789474
2.9625	5.26315789474
2.963	5.26315789474
2.9635	5.26315789474
2.964	5.26315789474
2.9645	5.26315789474
2.965	5.26315789474
2.9655	5.26315789474
2.966	5.26315789474
2.9665	5.26315789474
2.967	5.26315789474
2.9675	5.26315789474
2.968	5.26315789474
2.9685	5.26315789474
2.969	5.26315789474
2.9695	5.26315789474
2.97	5.26315789474
2.9705	5.26315789474
2.971	5.26315789474
2.9715	5.26315789474
2.972	5.26315789474
2.9725	5.26315789474
2.973	5.26315789474
